Kommun;Namn;Organisation;Typ;Plats_Adress;Epost;Telefon;Ovrigt
Botkyrka;Tullinge Scoutstuga;S:t Botvids Scoutkår;Scoutstuga;Tullinge;intresse@stbscout.se;08-778 52 60;
Botkyrka;Scoutlokal (Peter Momma / Grödinge);Scoutkåren Peter Momma;Scoutlokal;Grödinge;;;Kontakt saknas i canvas (placeholder)
Botkyrka;Pålstorp;S:ta Maria Scoutkår;Scoutstuga;Nära Riksten, Tullinge;info@sanctamaria.se;;
Botkyrka;Scoutstugan Malmsjövägen;Scoutkåren Peter Momma;Scoutstuga;Malmsjövägen 2A, 147 63 Uttran;info@petermomma.se;;
Danderyd;Scoutstugan Ranängen;Djursholms Scoutkår;Scoutstuga;Väringavägen 26, Ranängen (Djursholm);"stugfogde@djursholmsscoutkar.se; info@djursholmsscoutkar.se";073-906 16 75;Jourtelefon läger/hajk
Danderyd;Oskarsborg;Danderyds Sjöscoutkår;Scoutstuga;(adress ej angiven i canvas);"stughyra@danderydssjoscoutkar.se; ordf@danderydssjoscoutkar.se";;Stuguthyrning + kårkontakt
Danderyd;Stocksunds scoutstuga;Stocksunds Scoutkår;Scoutstuga;Stockbyvägen 10/12, Stocksund;scoutstugan.stocksund@gmail.com;;
Ekerö;K2;Mälarscouterna;Scoutstuga;Lovö;info@malarscouterna.se;08-87 27 60;
Ekerö;L13;Mäster Olof Råcksta Scoutkår;Scoutstuga;Lovö;bokning@masterolofracksta.se;;
Ekerö;Lugnet;Mäster Olof Råcksta Scoutkår;Scoutstuga;Lovö;bokning@masterolofracksta.se;070-314 3806;Bokningsansvarig: Anders Ahrsjö
Ekerö;Rövarkulan;Vinsta Scoutkår / Bromma KFUM;Scoutstuga;Lovö;info@bromma.kfum.se;;Förmedlad kontakt
Ekerö;Sundsgården;(projekt/etablering);Stuga/Projekt;Färingsö;erik@carlsson.st;0709-921469;Kontakt: Erik Carlsson
Haninge;Scoutlokalen Rudan;Handens Scoutkår;Scoutlokal;Rudanvägen 35, Haninge;info@handensscoutkar.se;073-054 10 69;
Haninge;Svartbäcken (Scoutlokal);Vendelsö Scoutkår;Scoutlokal;Tyrestavägen 44, Vendelsö;"stuga@vendelsoscoutkar.nu; kontakt@vendelsoscoutkar.se";;Bokning + kårkontakt
Haninge;Östnora scoutstuga;Västerhaninge Sjöscoutkår;Scoutstuga;Östnoravägen 37, Västerhaninge;info@vhsjoscout.se;;
Huddinge;Utfärdsstugan Ådalen;Örnsbergs Scoutkår;Utfärdsstuga;Ådravägen 3, 141 91 Huddinge;bokning@ornsberg.org;070-895 59 04;"Bokningsansvarig: Annika Larsson; Lissma friluftsområde"
Huddinge;Fräkenbotten;Kärrtorps Scoutkår;Scoutstuga;Orlången/Ågesta;info@karrtorpsscoutkar.nu;;
Huddinge;Kvarnbergsgården;Huddinge Scoutkår;Scoutgård;(adress ej angiven i canvas);"info@huddingescoutkar.se; malte.austvik@huddingescoutkar.se";;Kårkontakt + stugkontakt
Huddinge;Gladö scoutstuga;Huddinge Scoutkår;Scoutstuga;(adress ej angiven i canvas);glado@huddingescoutkar.se;;
Järfälla;Fjällvik (scoutlokal);Viksjö Scoutkår;Scoutlokal;Ekollongränd 2, 175 49 Järfälla;"uthyrning-fjallvik@viksjo.scout.se; info@viksjo.scout.se";;Bokning/uthyrning + kårkontakt
Järfälla;Stubben;Jakobsbergs Scoutkår;Scoutstuga;(adress ej angiven i canvas);info.jkbscout@gmail.com;;
Järfälla;Slammertorp;Kallhälls Scoutkår;Scoutstuga;(adress ej angiven i canvas);info@kallhallscout.se;;
Järfälla;Lyan;Barkarby–Skälby Scoutkår;Scoutstuga;(adress ej angiven i canvas);info@bask-scoutkar.se;;
Järfälla;Vårdkasen;Barkarby–Skälby Scoutkår;Scoutlokal;(adress ej angiven i canvas);info@bask-scoutkar.se;;
Lidingö;Durken;Lidingö-Bodals Sjöscoutkår;Scoutlokal;(adress ej angiven i canvas);"ordforande@lbo.nu; info@lbo.nu";;
Lidingö;Sommarvillan;Norra Lidingö Sjöscoutkår;Scoutstuga;(adress ej angiven i canvas);chris@ahne.se;;Stugfogde
Nacka;Landfästet;Nacka Sjöscoutkår;Scoutstuga;Tranvägen 12, Nacka;styrelsen@nackasjo.se;;
Nacka;Scoutlokalen;Saltsjö-Boo Scoutkår;Scoutlokal;Nämdöstigen 21, Saltsjö-Boo;ordforande@saltsjobooscoutkar.se;;
Nacka;Scoutlokal;Nacka-Boo Scoutkår;Scoutlokal;Åhlbergs väg, Saltsjö-Boo;info@nacka-boo.se;;
Nacka;Briggen;Saltsjöbadens Sjöscoutkår;Scoutlokal;Samskolevägen 4, Saltsjöbaden;"briggen@saltisscoutkar.se; ko@saltsjobadenscout.se";;Uthyrning + kårkontakt
Nacka;Örnboet;Saltsjöbadens Sjöscoutkår;Scoutstuga;(adress ej angiven i canvas);ko@saltsjobadenscout.se;;
Norrtälje;Vässarö (scoutö/anläggning);Scoutkansliet / Vässarö;Anläggning;(plats i Norrtälje kommun);"sverker@scoutkansliet.se; info@vassaro.se";08-652 05 10;
Norrtälje;Norrtälje-Malsta (mötesplats);Svenska kyrkan / scoutverksamhet;Mötesplats;Markuskyrkan, Grindvägen 9, Norrtälje;kerstin.zetterlund@svenskakyrkan.se;;Föranmälan
Nykvarn;Knopis de Lux;Turinge Scoutkår;Scoutlokal;Allévägen 8, Nykvarn;turingescout@gmail.com;073-708 23 09;
Nynäshamn;Sandhamnsstugan;Nynäshamns Scoutkår;Scoutstuga;Hamnviksvägen 9, Estö/Nynäshamn;nynashamnsscout@gmail.com;;
Nynäshamn;Blockis;Nynäshamns Scoutkår;Stuga/Blockhus;(plats ej angiven i canvas);"christoffer-berg@hotmail.com; nynashamnsscout@gmail.com";0725 372 427;Stugfogde + kårkontakt
Nynäshamn;Landberga;Nynäshamns Scoutkår / Sjöscoutstiftelsen;Scoutstuga;(plats ej angiven i canvas);nynashamnsscout@gmail.com;;
Sigtuna;Äppelbo;Märsta Scoutkår;Scoutstuga;Tallstigen 3, 195 42 Märsta;marsta.scout@gmail.com;;
Sigtuna;Orrgården;Rosersberg Scoutkår;Scoutgård;Åkervägen 32, Rosersberg;scouterna.rosersberg@gmail.com;076-852 37 42;Scoutverksamhet & hyra
Sollentuna;Kupan;Sollentuna Norra Scoutkår;Scoutlokal;Kistavägen 11, Norrviken;info@sollentunanorra.se;;
Sollentuna;Holken;Sollentuna Södra Scoutkår;Scoutgård;(adress ej angiven i canvas);hyr.holken@sollentunasodra.se;;
Solna;Hajkstugan (Hajknäs);Solna Scoutkår;Hajkstuga;Utgår från Parkvägen 1, 169 35 Solna;info.solnascoutkar@gmail.com;0734 012 000;
Stockholm;Scoutlokalen Taggen;Örnsbergs Scoutkår;Scoutlokal;Torsten Alms Gata 40, Hägersten;info@ornsberg.org;;
Stockholm;Scoutgården Rotundan;Örnsbergs Scoutkår;Scoutgård;Torsten Alms Gata 40, Hägersten;info@ornsberg.org;;
Stockholm;Riddersvik scoutstuga;Nockeby Scoutkår;Scoutstuga;(plats ej angiven i canvas);riddersvik@nockeby.org;08-26 30 26;
Stockholm;Hässelby Scoutkår – scoutlokal;Hässelby Scoutkår;Scoutlokal;Carl Bondes väg 90, 165 74 Hässelby;info@hasselbyscout.se;08-739 88 88;
Stockholm;Hässelby Strands Sjöscoutkår – lokal;Hässelby Strands Sjöscoutkår;Scoutlokal;Hässelby strandväg, 165 65 Hässelby;info@hss-scout.org;;
Stockholm;Spånga Scoutkår – scoutlokal;Spånga Scoutkår;Scoutlokal;Tornbacken 11 A, 163 54 Spånga;info@spangascouterna.se;;
Stockholm;S:ta Maria Scoutkår – Bergsgruvan;S:ta Maria Scoutkår;Scoutlokal;(plats ej angiven i canvas);info@sanctamaria.se;;
Stockholm;Södermalm Scoutkår – Bygget;Södermalm Scoutkår;Scoutstuga;(kårhus: Högalidsgatan 33, Stockholm);sodermalm.scout@gmail.com;;
Stockholm;Mälarhöjdens Scoutkår – Kåken;Mälarhöjdens Scoutkår;Scoutlokal;(adress ej angiven i canvas);malarhojdensscoutkar@gmail.com;08-646 12 39;
Stockholm;Västertorps Scoutkår – Lycksjöhagen;Västertorps Scoutkår;Scoutstuga;(adress ej angiven i canvas);miatholinder@gmail.com;08-97 24 65;
Stockholm;Åvastugan;Årsta Scoutkår;Scoutstuga;Åvavägen 78;"info@arsta.org; ordforande@arsta.org";0700-001002;
Stockholm;Brobergska Scoutkåren – avdelningslokaler;Brobergska Scoutkåren;Scoutlokal;"Idungatan 9; Gambrinusgatan 4";info@brobergska.se;;Två besöksadresser
Sundbyberg;Scoutlokal;Sundbybergs Scoutkår;Scoutlokal;Hamngatan 17B, 172 66 Sundbyberg;ordfsumpanscouter@gmail.com;;
